avg_assists,avg_bonus,avg_bps,avg_clean_sheets,avg_creativity,avg_goals_conceded,avg_goals_scored,avg_ict_index,avg_influence,avg_minutes,avg_opponent_team,avg_own_goals,avg_penalties_missed,avg_penalties_saved,avg_red_cards,avg_saves,avg_threat,avg_total_points,avg_value,was_home,avg_yellow_cards,position,actual_points,actual_minutes
0.0,0.0,2.0,0.0,5.5200000000000005,0.2,0.0,0.74,1.9600000000000002,18.0,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,52.6,1.0,0.2,2.0,2.0,90
0.0,0.0,3.6,0.0,5.16,0.2,0.0,1.0,4.4,18.0,9.6,0.0,0.0,0.0,0.0,0.0,0.4,0.4,52.4,0.0,0.0,2.0,1.0,15
0.0,0.0,5.0,0.0,5.16,0.4,0.0,1.28,7.2,21.0,10.2,0.0,0.0,0.0,0.0,0.0,0.4,0.6,52.0,1.0,0.0,2.0,1.0,90
0.0,0.0,11.4,0.0,17.220000000000002,1.2,0.0,3.5799999999999996,15.959999999999999,66.0,11.0,0.0,0.0,0.0,0.0,0.0,2.6,1.4,51.2,0.0,0.0,2.0,1.0,55
0.0,0.0,9.2,0.0,12.24,1.0,0.0,3.0599999999999996,15.680000000000001,59.0,10.6,0.0,0.0,0.0,0.0,0.0,2.6,1.2,51.0,1.0,0.0,2.0,0.0,0
0.0,0.0,1.4,0.0,0.18,0.0,0.0,0.48,4.12,11.0,10.8,0.0,0.0,0.0,0.0,0.0,0.4,0.2,51.0,0.0,0.0,2.0,2.0,90
0.0,0.0,3.2,0.0,2.8600000000000003,0.2,0.0,0.62,3.3600000000000003,18.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,51.0,0.0,0.0,2.0,1.0,90
0.0,0.0,8.2,0.0,5.779999999999999,1.0,0.0,1.42,7.6,54.0,10.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,50.6,1.0,0.0,2.0,6.0,90
0.0,0.0,12.4,0.2,8.86,1.0,0.0,2.12,10.24,72.0,8.4,0.0,0.0,0.0,0.0,0.0,2.0,2.0,50.4,0.0,0.0,2.0,1.0,90
0.0,0.0,11.8,0.2,9.06,1.2,0.0,2.32,11.16,72.0,6.0,0.0,0.0,0.0,0.0,0.0,2.8,1.8,50.0,1.0,0.0,2.0,2.0,90
0.0,0.0,9.8,0.2,6.659999999999999,1.0,0.0,2.0999999999999996,10.280000000000001,72.0,7.6,0.0,0.0,0.0,0.0,0.0,4.0,2.0,50.0,0.0,0.0,2.0,2.0,90
0.0,0.0,11.2,0.2,9.8,0.8,0.0,2.9,13.12,72.0,8.4,0.0,0.0,0.0,0.0,0.0,6.0,2.2,50.0,1.0,0.0,2.0,2.0,90
0.0,0.0,7.0,0.0,5.62,0.6,0.0,2.06,9.4,54.0,12.2,0.0,0.0,0.0,0.0,0.0,5.6,1.2,50.0,1.0,0.0,2.0,1.0,33
0.0,0.0,7.8,0.0,8.600000000000001,0.6,0.0,2.48,10.639999999999999,60.6,11.2,0.0,0.0,0.0,0.0,0.0,5.6,1.4,50.0,0.0,0.0,2.0,1.0,90
0.0,0.0,9.6,0.0,11.76,0.8,0.0,3.2,12.559999999999999,60.6,9.8,0.0,0.0,0.0,0.0,0.0,7.6,1.2,50.0,1.0,0.0,2.0,4.0,90
0.2,0.0,12.2,0.0,16.580000000000002,1.4,0.0,4.260000000000001,15.560000000000002,60.6,10.2,0.0,0.0,0.0,0.0,0.0,10.4,1.4,50.0,0.0,0.0,2.0,1.0,90
0.2,0.0,14.6,0.0,17.720000000000002,1.8,0.0,4.660000000000001,17.68,78.6,8.8,0.0,0.0,0.0,0.0,0.0,11.2,1.6,50.0,0.0,0.0,2.0,0.0,0
0.2,0.0,10.6,0.0,11.46,1.4,0.0,3.16,13.0,54.0,9.8,0.0,0.0,0.0,0.0,0.0,7.2,1.2,50.0,0.0,0.0,2.0,0.0,0
0.0,0.0,2.4,0.0,1.1400000000000001,0.4,0.0,0.4,2.12,18.0,12.8,0.0,0.0,0.0,0.0,0.0,0.8,0.2,50.0,0.0,0.0,2.0,0.0,0
0.0,0.0,1.4,0.0,0.3,1.0,0.0,0.22000000000000003,1.8,18.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.6,1.0,0.0,2.0,14.0,90
0.0,0.4,5.4,0.2,0.44000000000000006,0.0,0.2,1.1199999999999999,8.76,18.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,2.8,49.4,0.0,0.0,2.0,7.0,90
0.0,0.4,14.6,0.2,2.2399999999999998,0.8,0.4,4.08,22.999999999999996,70.6,9.0,0.0,0.0,0.0,0.0,0.0,15.6,5.0,49.4,1.0,0.0,2.0,0.0,90
0.0,0.0,11.4,0.0,3.3600000000000003,1.4,0.2,3.34,15.719999999999999,70.6,9.2,0.0,0.0,0.0,0.0,0.0,14.4,2.2,49.4,0.0,0.2,2.0,1.0,90
0.0,0.6,15.8,0.2,10.819999999999999,2.0,0.2,4.72,22.040000000000003,90.0,11.2,0.0,0.0,0.0,0.0,0.0,14.4,3.6,48.6,0.0,0.4,2.0,0.0,90
0.0,0.6,13.2,0.2,9.72,1.6,0.2,4.12,21.92,82.0,9.8,0.0,0.0,0.0,0.0,0.0,9.6,3.2,47.6,0.0,0.6,2.0,6.0,90
0.0,0.6,16.0,0.4,10.440000000000001,0.8,0.2,3.62,20.68,82.0,10.0,0.0,0.0,0.0,0.0,0.0,5.2,4.0,47.0,1.0,0.8,2.0,0.0,0
0.0,0.0,8.8,0.2,7.220000000000001,0.8,0.0,1.98,10.84,64.0,10.6,0.0,0.0,0.0,0.0,0.0,1.8,1.2,47.0,1.0,0.6,2.0,5.0,90
0.0,0.0,11.2,0.4,11.12,0.4,0.0,2.4999999999999996,11.24,64.0,7.2,0.0,0.0,0.0,0.0,0.0,2.6,2.2,47.0,0.0,0.6,2.0,2.0,90
0.0,0.0,14.2,0.4,15.440000000000001,0.6,0.0,3.0999999999999996,12.8,72.0,10.0,0.0,0.0,0.0,0.0,0.0,2.6,2.6,47.0,1.0,0.4,2.0,2.0,90
0.0,0.0,13.6,0.2,26.639999999999997,0.8,0.0,4.4799999999999995,15.319999999999999,72.0,8.4,0.0,0.0,0.0,0.0,0.0,2.6,1.8,47.0,0.0,0.4,2.0,0.0,90
0.0,0.0,14.2,0.2,26.059999999999995,1.6,0.0,4.44,16.240000000000002,90.0,9.0,0.0,0.0,0.0,0.0,0.0,1.8,2.0,47.0,1.0,0.2,2.0,1.0,90
0.0,0.0,13.4,0.0,24.8,2.2,0.0,4.24,16.52,90.0,9.2,0.0,0.0,0.0,0.0,0.0,0.8,1.2,47.0,0.0,0.0,2.0,1.0,90
0.0,0.0,12.8,0.0,22.259999999999998,2.4,0.0,3.9599999999999995,16.28,90.0,8.4,0.0,0.0,0.0,0.0,0.0,0.8,1.0,47.0,0.0,0.0,2.0,1.0,90
0.0,0.0,11.2,0.0,10.579999999999998,2.2,0.0,2.5,13.36,90.0,10.2,0.0,0.0,0.0,0.0,0.0,0.8,1.0,46.6,0.0,0.2,2.0,2.0,90
0.0,0.0,11.0,0.0,13.419999999999998,2.0,0.0,2.98,15.16,90.0,8.4,0.0,0.0,0.0,0.0,0.0,1.0,1.2,46.4,1.0,0.2,2.0,1.0,90
0.0,0.0,10.6,0.0,11.239999999999998,1.8,0.0,2.78,15.0,90.0,11.6,0.0,0.0,0.0,0.0,0.0,1.4,1.2,46.0,0.0,0.2,2.0,1.0,90
0.0,0.0,11.2,0.0,17.8,1.6,0.0,3.44,12.959999999999999,90.0,12.0,0.0,0.0,0.0,0.0,0.0,3.6,1.2,45.4,0.0,0.2,2.0,1.0,90
0.0,0.0,1.2,0.0,0.06,0.0,0.0,0.18,1.64,3.0,15.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,59.0,0.0,0.0,3.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.8,1.0,0.0,3.0,1.0,4
0.0,0.0,1.2,0.0,0.06,0.0,0.0,0.08,0.64,0.8,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,56.4,0.0,0.0,3.0,1.0,31
0.0,0.0,2.4,0.0,0.38,0.2,0.0,0.22000000000000003,1.7600000000000002,7.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,56.2,1.0,0.0,3.0,2.0,65
0.0,0.0,3.6,0.0,1.02,0.4,0.0,0.33999999999999997,1.7600000000000002,20.0,10.6,0.0,0.0,0.0,0.0,0.0,0.8,0.8,56.0,0.0,0.0,3.0,2.0,64
0.0,0.0,6.2,0.0,3.6800000000000006,0.6,0.0,0.8200000000000001,3.44,32.8,11.2,0.0,0.0,0.0,0.0,0.0,1.2,1.2,56.0,1.0,0.0,3.0,0.0,0
0.0,0.0,6.2,0.0,3.6800000000000006,0.6,0.0,0.8200000000000001,3.44,32.8,12.8,0.0,0.0,0.0,0.0,0.0,1.2,1.2,56.0,0.0,0.0,3.0,4.0,8
0.2,0.0,8.6,0.0,9.32,0.6,0.0,1.7999999999999996,7.68,33.6,12.4,0.0,0.0,0.0,0.0,0.0,1.2,1.8,55.8,1.0,0.0,3.0,2.0,67
0.2,0.0,8.6,0.0,9.74,0.6,0.0,2.04,6.56,40.8,11.8,0.0,0.0,0.0,0.0,0.0,4.8,2.0,55.6,1.0,0.0,3.0,2.0,90
0.2,0.0,10.0,0.0,9.36,0.6,0.0,2.3400000000000003,8.48,45.8,10.4,0.0,0.0,0.0,0.0,0.0,6.0,2.0,55.4,0.0,0.0,3.0,3.0,87
0.2,0.0,10.4,0.2,12.16,0.4,0.0,2.56,8.28,50.4,8.6,0.0,0.0,0.0,0.0,0.0,5.6,2.2,55.0,1.0,0.0,3.0,3.0,60
0.0,0.0,8.8,0.4,8.879999999999999,0.4,0.0,2.2600000000000002,4.959999999999999,60.8,7.6,0.0,0.0,0.0,0.0,0.0,9.2,2.0,55.0,1.0,0.0,3.0,0.0,0
0.0,0.0,7.6,0.4,8.139999999999999,0.2,0.0,1.8800000000000001,4.959999999999999,47.4,9.4,0.0,0.0,0.0,0.0,0.0,5.6,1.6,55.0,0.0,0.0,3.0,0.0,0
0.0,0.0,5.0,0.4,7.88,0.0,0.0,1.46,3.04,29.4,8.6,0.0,0.0,0.0,0.0,0.0,3.6,1.2,55.0,0.0,0.0,3.0,0.0,0
0.0,0.0,2.0,0.2,2.42,0.0,0.0,0.76,1.56,12.0,9.8,0.0,0.0,0.0,0.0,0.0,3.6,0.6,55.0,1.0,0.0,3.0,0.0,0
0.0,0.0,2.0,0.2,2.42,0.0,0.0,0.76,1.56,12.0,8.8,0.0,0.0,0.0,0.0,0.0,3.6,0.6,55.0,0.0,0.0,3.0,1.0,18
0.0,0.0,1.0,0.0,0.36,0.0,0.0,0.13999999999999999,0.6799999999999999,3.6,8.6,0.0,0.0,0.0,0.0,0.0,0.4,0.2,55.0,1.0,0.0,3.0,0.0,0
0.0,0.0,1.0,0.0,0.36,0.0,0.0,0.13999999999999999,0.6799999999999999,3.6,9.6,0.0,0.0,0.0,0.0,0.0,0.4,0.2,55.0,0.0,0.0,3.0,0.0,0
